ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"27.147.139.73","elite","AS23688","BD","Link3 Technologies Limited","202","Corporate Subscriber","4145","socks4","4893","1","2026-05-03T05:01:29.241Z","97","11742","12081"
"182.160.116.194","elite","AS24323","BD","Aamra Networks Limited","178","N/A","8090","socks5","3797","1","2026-05-03T04:57:10.248Z","97","11589","11959"
"202.4.107.70","elite","AS23956","BD","dhakaCom Limited","181","DhakaCom Limited","5678","socks5","662","1","2026-05-03T04:56:50.012Z","95","11412","11988"
"43.251.86.65","elite","AS45766","BD","Md. Abdul Kayum Rashed","192","N/A","1080","socks5","355","1","2026-05-03T04:54:11.940Z","100","37","37"
"123.0.25.156","elite","AS56054","BD","Icon Infotech Limited","225","IIL","9090","socks5","3002","1","2026-05-03T04:53:26.919Z","98","45","46"
"103.109.59.109","elite","AS138640","BD","HelloTech Limited","187","Hello Tech Limited","1080","socks4","2098","1","2026-05-03T04:52:58.946Z","72","8653","12073"
"103.197.48.54","elite","AS138191","BD","Weblink Communications Ltd","194","Weblink Communications Ltd","9898","socks4","1188","1","2026-05-03T04:50:57.717Z","97","5066","5246"
"103.91.232.1","elite","AS136534","BD","GUNGCHIL","198","MD. ASADUZZAMAN","4145","socks4","3112","1","2026-05-03T04:50:27.938Z","99","2431","2468"
"202.40.188.201","elite","AS23991","BD","Ranks ITT","183","Ranks ITT Ltd.","4145","socks4","4403","1","2026-05-03T04:47:36.339Z","93","11216","12124"
"103.218.24.161","elite","AS63526","BD","Carnival Internet","203","N/A","8080","socks4","4294","1","2026-05-03T04:46:37.615Z","99","2760","2792"
"163.47.37.190","elite","AS63961","BD","Bangladesh Research and Education Network (BdREN)","189","Bangladesh Research and Education Network (BdREN)","1080","socks5","2821","1","2026-05-03T04:45:51.212Z","51","67","131"
"114.134.90.110","elite","AS38031","BD","OptiMax Communication Ltd","212","Cable modem client group","10800","socks4","696","1","2026-05-03T04:43:34.745Z","46","5594","12141"
"119.148.16.93","elite","AS23923","BD","Agni Systems Ltd. SUB","225","Agni Systems Limited","1088","socks4","4212","1","2026-05-03T04:43:34.736Z","99","11876","12022"
"45.249.101.4","elite","AS135411","BD","Red Grapes Pte Ltd","195","N/A","56457","socks4","3116","1","2026-05-03T04:37:27.619Z","98","11874","12115"
"175.29.174.242","elite","AS17469","BD","Access Telecom (BD) Ltd","203","Access Telecom (BD) Ltd","10800","socks4","5180","1","2026-05-03T04:32:58.742Z","81","4382","5412"
"202.168.225.118","elite","AS24342","BD","bracNet","172","N/A","10800","socks4","3404","1","2026-05-03T04:30:13.011Z","98","4684","4758"
"202.5.57.39","elite","AS45326","BD","BBTS-NEW","188","N/A","2727","socks5","2713","1","2026-05-03T04:26:11.626Z","88","143","163"
"49.0.32.177","elite","AS38744","BD","Always On Network Bangladesh Ltd.","203","Always On Network Bangladesh Ltd","10801","socks4","4793","1","2026-05-03T04:21:59.641Z","96","11513","12024"
"61.247.180.182","elite","AS38031","BD","OptiMax Communication Ltd","178","OptiMax Communication Ltd","10800","socks4","3019","1","2026-05-03T04:20:51.637Z","96","11695","12141"
"27.147.193.190","elite","AS23688","BD","Link3 Technologies Limited","202","Corporate Subscriber","1080","socks4","4374","1","2026-05-03T04:20:51.434Z","98","11871","12101"
"103.112.130.38","elite","AS137542","BD","Sayem Online Communication","178","Socom","9091","socks5","4513","1","2026-05-03T04:19:56.027Z","94","5117","5416"
"202.5.55.33","elite","AS45326","BD","BBTS-NEW","188","N/A","21323","socks4","3593","1","2026-05-03T04:19:55.923Z","100","427","429"
"115.127.107.218","elite","AS24342","BD","BRACNet Limited","163","BRACNet Limited","1085","socks5","1999","1","2026-05-03T04:18:22.621Z","69","3711","5346"
"103.109.56.209","elite","AS138640","BD","HelloTech Limited","187","Hello Tech Limited","15108","socks5","3103","1","2026-05-03T04:11:22.513Z","99","11986","12154"
"103.199.155.18","elite","AS134749","BD","Md. Nasir Uddin T/A SPEED TECH ONLINE","181","N/A","6969","socks5","3617","1","2026-05-03T04:10:35.619Z","54","2899","5406"
"115.127.103.82","elite","AS24342","BD","BRACNet Limited","230","BRACNet Limited","4673","socks4","4418","1","2026-05-03T04:09:38.550Z","95","11417","12078"
"103.214.156.32","elite","AS152177","BD","Fuad Muhammad Shorfuddin","204","N/A","5678","socks4","4894","1","2026-05-03T04:09:38.616Z","94","11406","12098"
"203.80.190.162","elite","AS38592","BD","Chittagong Online Limited","226","CTGONLINENET","8080","socks4","3485","1","2026-05-03T04:07:02.930Z","96","11597","12057"